run,mode,round,accept_rate,accuracy,pre_knowledge,post_knowledge,delta_knowledge,pre_engagement,post_engagement,delta_engagement
standard_eps1_0,fixed,42,0.25,0.6,0.18842426932395365,0.2262682110479237,0.03784394172397004,0.3113705131649578,0.31273549490149044,0.0013649817365326555
standard_eps1_0,fixed,43,0.2,0.5625,0.2262682110479237,0.2410833202717548,0.014815109223831113,0.31273549490149044,0.3092033507028566,-0.0035321441986338464
standard_eps1_0,fixed,44,0.2125,0.4117647058823529,0.2410833202717548,0.23705088796494014,-0.0040324323068146595,0.3092033507028566,0.29769460895245925,-0.011508741750397344
standard_eps1_0,fixed,45,0.2125,0.5294117647058824,0.23705088796494014,0.2612005896908455,0.02414970172590533,0.29769460895245925,0.29834058987241896,0.00064598091995971
standard_eps1_0,fixed,46,0.2125,0.8235294117647058,0.2612005896908455,0.3191249441466824,0.057924354455836935,0.29834058987241896,0.3198485365247916,0.021507946652372656
standard_eps1_0,fixed,47,0.225,0.6111111111111112,0.3191249441466824,0.3375346071104197,0.018409662963737305,0.3198485365247916,0.31975097080687953,-9.756571791208479e-05
standard_eps1_0,fixed,48,0.2125,0.29411764705882354,0.3375346071104197,0.2711497213973017,-0.06638488571311801,0.31975097080687953,0.27093318193157157,-0.048817788875307966
standard_eps1_0,fixed,49,0.2125,0.5294117647058824,0.2711497213973017,0.27266402517300964,0.001514303775707937,0.27093318193157157,0.27197278778965256,0.0010396058580809941
standard_eps1_0,fixed,50,0.2125,0.35294117647058826,0.27266402517300964,0.24167145779169819,-0.030992567381311453,0.27197278778965256,0.2612246894090526,-0.01074809838059998
strong_eps0_5,adaptive,1,0.35,0.5714285714285714,0.575,0.5011486643588906,-0.07385133564110935,0.675,0.6516512291830138,-0.023348770816986275
strong_eps0_5,adaptive,2,0.35,0.5,0.5011486643588906,0.41146928825032564,-0.08967937610856497,0.6516512291830138,0.6381254541122579,-0.013525775070755919
strong_eps0_5,adaptive,3,0.2604166666666667,0.6,0.41146928825032564,0.37915842810299355,-0.03231086014733209,0.6381254541122579,0.6365549179128206,-0.0015705361994372558
strong_eps0_5,adaptive,4,0.2604166666666667,0.32,0.37915842810299355,0.2764319601814818,-0.10272646792151174,0.6365549179128206,0.5904209265927615,-0.04613399132005913
strong_eps0_5,adaptive,5,0.2916666666666667,0.5714285714285714,0.2764319601814818,0.28834461972915276,0.011912659547670956,0.5904209265927615,0.5920753521377684,0.0016544255450069434
strong_eps0_5,adaptive,6,0.23958333333333334,0.4782608695652174,0.28834461972915276,0.28120686126652417,-0.007137758462628596,0.5920753521377684,0.5887436295220602,-0.0033317226157082436
strong_eps0_5,adaptive,7,0.25,0.4166666666666667,0.28120686126652417,0.24188130400757335,-0.039325557258950816,0.5887436295220602,0.5599736098435971,-0.028770019678463044
strong_eps0_5,adaptive,8,0.25,0.4583333333333333,0.24188130400757335,0.2272861269522488,-0.014595177055324537,0.5599736098435971,0.5551264654443075,-0.004847144399289571
strong_eps0_5,adaptive,9,0.2708333333333333,0.5,0.2272861269522488,0.21108257041359743,-0.01620355653865138,0.5551264654443075,0.5506541700332237,-0.004472295411083849
strong_eps0_5,adaptive,10,0.21875,0.23809523809523808,0.21108257041359743,0.14011758179141917,-0.07096498862217826,0.5506541700332237,0.5080743072391745,-0.04257986279404924
strong_eps0_5,adaptive,11,0.23958333333333334,0.6086956521739131,0.14011758179141917,0.18234643214548707,0.0422288503540679,0.5080743072391745,0.5165004865211362,0.008426179281961765
strong_eps0_5,adaptive,12,0.2708333333333333,0.38461538461538464,0.18234643214548707,0.19755658397649575,0.015210151831008684,0.5165004865211362,0.5073076988790316,-0.009192787642104627
strong_eps0_5,adaptive,13,0.22916666666666666,0.22727272727272727,0.19755658397649575,0.15560585633652177,-0.041950727639973984,0.5073076988790316,0.4583552317167195,-0.04895246716231211
strong_eps0_5,adaptive,14,0.20833333333333334,0.2,0.15560585633652177,0.10964633861071969,-0.045959517725802077,0.4583552317167195,0.4227842867600371,-0.03557094495668239
strong_eps0_5,adaptive,15,0.21875,0.3333333333333333,0.10964633861071969,0.12546315648605183,0.015816817875332137,0.4227842867600371,0.400009052050631,-0.022775234709406122
strong_eps0_5,adaptive,16,0.25,0.4166666666666667,0.12546315648605183,0.16288107904563615,0.037417922559584316,0.400009052050631,0.38656740963373,-0.01344164241690099
strong_eps0_5,adaptive,17,0.17708333333333334,0.17647058823529413,0.16288107904563615,0.12186615011727614,-0.041014928928360006,0.38656740963373,0.3390693014656063,-0.047498108168123665
strong_eps0_5,adaptive,18,0.22916666666666666,0.45454545454545453,0.12186615011727614,0.14097464746378982,0.01910849734651368,0.3390693014656063,0.3349649545561981,-0.004104346909408196
strong_eps0_5,adaptive,19,0.17708333333333334,0.23529411764705882,0.14097464746378982,0.11193947145465363,-0.029035176009136188,0.3349649545561981,0.29407599626617476,-0.04088895829002337
strong_eps0_5,adaptive,20,0.19791666666666666,0.8421052631578947,0.11193947145465363,0.20628662702199088,0.09434715556733725,0.29407599626617476,0.32529131089407054,0.031215314627895785
strong_eps0_5,adaptive,21,0.25,0.16666666666666666,0.20628662702199088,0.12447847919727914,-0.08180814782471174,0.32529131089407054,0.28012128366557837,-0.04517002722849217
strong_eps0_5,adaptive,22,0.1875,0.16666666666666666,0.12447847919727914,0.07714305595053428,-0.04733542324674486,0.28012128366557837,0.2682442587709317,-0.011877024894646648
strong_eps0_5,adaptive,23,0.19791666666666666,0.631578947368421,0.07714305595053428,0.15289774838626524,0.07575469243573096,0.2682442587709317,0.27976920798384497,0.01152494921291325
strong_eps0_5,adaptive,24,0.19791666666666666,0.3157894736842105,0.15289774838626524,0.13687056865104089,-0.016027179735224356,0.27976920798384497,0.2621532148467607,-0.017615993137084285
strong_eps0_5,adaptive,25,0.19791666666666666,0.15789473684210525,0.13687056865104089,0.09583772366770113,-0.041032844983339756,0.2621532148467607,0.24006015578280002,-0.02209305906396067
strong_eps0_5,adaptive,26,0.20833333333333334,0.4,0.09583772366770113,0.1227017491682366,0.026864025500535474,0.24006015578280002,0.23937512152712692,-0.0006850342556730948
strong_eps0_5,adaptive,27,0.19791666666666666,0.21052631578947367,0.1227017491682366,0.08190158710688152,-0.04080016206135509,0.23937512152712692,0.22971834700451643,-0.00965677452261049
strong_eps0_5,adaptive,28,0.19791666666666666,0.3684210526315789,0.08190158710688152,0.08938459220809297,0.007483005101211457,0.22971834700451643,0.24012940490200882,0.010411057897492387
strong_eps0_5,adaptive,29,0.21875,0.2857142857142857,0.08938459220809297,0.07083285889048453,-0.01855173331760844,0.24012940490200882,0.23343310947765805,-0.006696295424350768
strong_eps0_5,adaptive,30,0.1875,0.3888888888888889,0.07083285889048453,0.0985277196227489,0.027694860732264362,0.23343310947765805,0.2460915816665659,0.012658472188907838
strong_eps0_5,adaptive,31,0.21875,0.42857142857142855,0.0985277196227489,0.09784772593663658,-0.0006799936861123096,0.2460915816665659,0.24167910483404825,-0.004412476832517637
strong_eps0_5,adaptive,32,0.20833333333333334,0.35,0.09784772593663658,0.10749659662872475,0.009648870692088168,0.24167910483404825,0.2463490496668861,0.004669944832837836
strong_eps0_5,adaptive,33,0.19791666666666666,0.5789473684210527,0.10749659662872475,0.14136262581253747,0.03386602918381272,0.2463490496668861,0.24826603070689723,0.0019169810400111453
strong_eps0_5,adaptive,34,0.20833333333333334,0.4,0.14136262581253747,0.13255440477756725,-0.008808221034970226,0.24826603070689723,0.2458809263459434,-0.0023851043609538214
strong_eps0_5,adaptive,35,0.20833333333333334,0.5,0.13255440477756725,0.16491653276988555,0.0323621279923183,0.2458809263459434,0.2566670890514877,0.010786162705544305
strong_eps0_5,adaptive,36,0.22916666666666666,0.5,0.16491653276988555,0.18398928363058048,0.01907275086069493,0.2566670890514877,0.26063639843278424,0.003969309381296526
strong_eps0_5,adaptive,37,0.19791666666666666,0.47368421052631576,0.18398928363058048,0.18903610793104614,0.005046824300465658,0.26063639843278424,0.2573693389775351,-0.0032670594552491328
strong_eps0_5,adaptive,38,0.1875,0.2777777777777778,0.18903610793104614,0.16653201124945546,-0.022504096681590674,0.2573693389775351,0.25089103043315925,-0.006478308544375866
strong_eps0_5,adaptive,39,0.19791666666666666,0.6842105263157895,0.16653201124945546,0.21693142715736455,0.050399415907909084,0.25089103043315925,0.26805515069096114,0.017164120257801896
strong_eps0_5,adaptive,40,0.20833333333333334,0.45,0.21693142715736455,0.20245657834051803,-0.01447484881684652,0.26805515069096114,0.2696895126685909,0.0016343619776297835
strong_eps0_5,adaptive,41,0.20833333333333334,0.55,0.20245657834051803,0.21770220516934924,0.01524562682883121,0.2696895126685909,0.26753848993642393,-0.002151022732166996
strong_eps0_5,adaptive,42,0.21875,0.5238095238095238,0.21770220516934924,0.21346695614330752,-0.004235249026041721,0.26753848993642393,0.2751155639193533,0.007577073982929394
strong_eps0_5,adaptive,43,0.17708333333333334,0.5294117647058824,0.21346695614330752,0.22270190594948774,0.009234949806180226,0.2751155639193533,0.28913641303602194,0.014020849116668621
strong_eps0_5,adaptive,44,0.19791666666666666,0.7368421052631579,0.22270190594948774,0.27309011213858103,0.05038820618909329,0.28913641303602194,0.3134881165760817,0.024351703540059777
strong_eps0_5,adaptive,45,0.21875,0.3333333333333333,0.27309011213858103,0.21379678252830933,-0.0592933296102717,0.3134881165760817,0.27402134403534023,-0.03946677254074149
strong_eps0_5,adaptive,46,0.22916666666666666,0.6818181818181818,0.21379678252830933,0.2631552945333916,0.04935851200508226,0.27402134403534023,0.2832186671100378,0.009197323074697561
strong_eps0_5,adaptive,47,0.1875,0.2222222222222222,0.2631552945333916,0.19045264416414223,-0.07270265036924936,0.2832186671100378,0.24424291760160446,-0.03897574950843333
strong_eps0_5,adaptive,48,0.19791666666666666,0.2631578947368421,0.19045264416414223,0.16101781497743903,-0.029434829186703204,0.24424291760160446,0.2353326758238783,-0.008910241777726174
strong_eps0_5,adaptive,49,0.19791666666666666,0.3684210526315789,0.16101781497743903,0.1459311561406204,-0.015086658836818617,0.2353326758238783,0.22495022612037008,-0.010382449703508212
strong_eps0_5,adaptive,50,0.19791666666666666,0.10526315789473684,0.1459311561406204,0.07984104178522669,-0.06609011435539372,0.22495022612037008,0.20637063886524004,-0.018579587255130037
strong_eps0_5,linucb,1,0.35,0.5714285714285714,0.575,0.4969541191547445,-0.07804588084525543,0.675,0.6519115094398298,-0.02308849056017026
strong_eps0_5,linucb,2,0.35,0.5,0.4969541191547445,0.42212691912476497,-0.07482720002997956,0.6519115094398298,0.6378748099911685,-0.01403669944866126
strong_eps0_5,linucb,3,0.3125,0.28,0.42212691912476497,0.30664314884352106,-0.1154837702812439,0.6378748099911685,0.5882440469795625,-0.04963076301160607
strong_eps0_5,linucb,4,0.3125,0.68,0.30664314884352106,0.34225726951495594,0.03561412067143488,0.5882440469795625,0.6066211913833252,0.018377144403762702
strong_eps0_5,linucb,5,0.35,0.42857142857142855,0.34225726951495594,0.30018690030476364,-0.042070369210192304,0.6066211913833252,0.5855634426647077,-0.02105774871861743
strong_eps0_5,linucb,6,0.25,0.25,0.30018690030476364,0.23238089320967567,-0.06780600709508797,0.5855634426647077,0.5367249303562871,-0.04883851230842062
strong_eps0_5,linucb,7,0.2875,0.30434782608695654,0.23238089320967567,0.19565030639694234,-0.036730586812733335,0.5367249303562871,0.5043274977729889,-0.03239743258329819
strong_eps0_5,linucb,8,0.275,0.045454545454545456,0.19565030639694234,0.11186164012510262,-0.08378866627183972,0.5043274977729889,0.4374444061697531,-0.0668830916032358
strong_eps0_5,linucb,9,0.2125,0.4117647058823529,0.11186164012510262,0.1273847833617774,0.015523143236674766,0.4374444061697531,0.4282478997056319,-0.009196506464121235
strong_eps0_5,linucb,10,0.25,0.45,0.1273847833617774,0.13011187244237643,0.0027270890805990433,0.4282478997056319,0.4359623188803628,0.007714419174730924
strong_eps0_5,linucb,11,0.225,0.3888888888888889,0.13011187244237643,0.13570597094158993,0.005594098499213496,0.4359623188803628,0.43970577386474186,0.0037434549843790577
strong_eps0_5,linucb,12,0.2,0.625,0.13570597094158993,0.15982640967523912,0.02412043873364919,0.43970577386474186,0.4388713828319666,-0.0008343910327752724
strong_eps0_5,linucb,13,0.325,0.6538461538461539,0.15982640967523912,0.23852574802122994,0.07869933834599083,0.4388713828319666,0.44514578781751596,0.0062744049855493755
strong_eps0_5,linucb,14,0.2125,0.47058823529411764,0.23852574802122994,0.2257253222626718,-0.012800425758558137,0.44514578781751596,0.4409271522754724,-0.004218635542043547
strong_eps0_5,linucb,15,0.2,0.1875,0.2257253222626718,0.15453466976108562,-0.07119065250158618,0.4409271522754724,0.4214094156007211,-0.019517736674751318
strong_eps0_5,linucb,16,0.2125,0.35294117647058826,0.15453466976108562,0.1397645690513973,-0.014770100709688316,0.4214094156007211,0.3861290380677938,-0.03528037753292729
strong_eps0_5,linucb,17,0.225,0.4444444444444444,0.1397645690513973,0.15853072322523037,0.018766154173833066,0.3861290380677938,0.3585691378538023,-0.027559900213991517
strong_eps0_5,linucb,18,0.2,0.1875,0.15853072322523037,0.11436119199009266,-0.04416953123513771,0.3585691378538023,0.3313802666111794,-0.02718887124262287
strong_eps0_5,linucb,19,0.2375,0.42105263157894735,0.11436119199009266,0.12180397659190104,0.007442784601808375,0.3313802666111794,0.33370705532589257,0.002326788714713146
strong_eps0_5,linucb,20,0.2375,0.3157894736842105,0.12180397659190104,0.09888494672114784,-0.0229190298707532,0.33370705532589257,0.32887854158210506,-0.00482851374378751
strong_eps0_5,linucb,21,0.2375,0.3157894736842105,0.09888494672114784,0.09996581245052577,0.0010808657293779333,0.32887854158210506,0.3129171396781142,-0.01596140190399087
strong_eps0_5,linucb,22,0.2,0.1875,0.09996581245052577,0.09813016344726255,-0.0018356490032632178,0.3129171396781142,0.30226700966202036,-0.010650130016093828
strong_eps0_5,linucb,23,0.2375,0.5789473684210527,0.09813016344726255,0.1380926913502734,0.03996252790301086,0.30226700966202036,0.2928176607285463,-0.009449348933474044
strong_eps0_5,linucb,24,0.2,0.3125,0.1380926913502734,0.1387978513053882,0.0007051599551147758,0.2928176607285463,0.2766051966324353,-0.01621246409611099
strong_eps0_5,linucb,25,0.2125,0.17647058823529413,0.1387978513053882,0.11283560332533851,-0.025962247980049674,0.2766051966324353,0.24522776331497984,-0.03137743331745549
strong_eps0_5,linucb,26,0.2,0.125,0.11283560332533851,0.0888233256670486,-0.024012277658289907,0.24522776331497984,0.21193014276557653,-0.0332976205494033
strong_eps0_5,linucb,27,0.2125,0.0,0.0888233256670486,0.03917936872940748,-0.04964395693764113,0.21193014276557653,0.2,-0.011930142765576524
strong_eps0_5,linucb,28,0.2,0.1875,0.03917936872940748,0.042412694333804665,0.0032333256043971872,0.2,0.20797481316403818,0.00797481316403817
strong_eps0_5,linucb,29,0.2,0.1875,0.042412694333804665,0.04328648043490243,0.0008737861010977635,0.20797481316403818,0.20979554232587982,0.0018207291618416444
strong_eps0_5,linucb,30,0.2,0.375,0.04328648043490243,0.06969135107504723,0.026404870640144802,0.20979554232587982,0.21641230139477868,0.006616759068898859
strong_eps0_5,linucb,31,0.2,0.3125,0.06969135107504723,0.07109458166863451,0.0014032305935872819,0.21641230139477868,0.218907887943825,0.0024955865490463303
