run,baseline,round,d_acc_vs_linucb,d_accept_vs_linucb,d_acc_vs_als,d_accept_vs_als,d_acc_vs_fixed,d_accept_vs_fixed
off_open,linucb,38,0.5913461538461539,0.0708333333333333,,,,
off_open,linucb,39,0.19572368421052633,0.09583333333333333,,,,
off_open,linucb,40,0.2112068965517241,0.1020833333333333,,,,
off_open,linucb,41,-0.4708333333333333,0.11249999999999999,,,,
off_open,linucb,42,-0.01666666666666672,0.11249999999999999,,,,
off_open,linucb,43,-0.25833333333333336,0.11249999999999999,,,,
off_open,linucb,44,0.01814516129032262,0.12291666666666667,,,,
off_open,linucb,45,-0.15625,0.1333333333333333,,,,
off_open,linucb,46,-0.5333333333333333,0.11249999999999999,,,,
off_open,linucb,47,-0.20265151515151514,0.14375,,,,
off_open,linucb,48,0.1713709677419355,0.12291666666666667,,,,
off_open,linucb,49,0.11491935483870963,0.12291666666666667,,,,
off_open,linucb,50,0.07459677419354838,0.12291666666666667,,,,
off_open,als,1,,,-0.0357142857142857,0.0,,
off_open,als,2,,,0.07142857142857151,0.0,,
off_open,als,3,,,0.32692307692307687,-0.07916666666666666,,
off_open,als,4,,,-0.07142857142857145,-0.05833333333333329,,
off_open,als,5,,,-0.11839080459770113,-0.04999999999999999,,
off_open,als,6,,,0.3300492610837438,-0.0708333333333333,,
off_open,als,7,,,0.15740740740740738,-0.06874999999999998,,
off_open,als,8,,,0.11857142857142855,-0.08958333333333329,,
off_open,als,9,,,-0.01851851851851849,-0.06666666666666671,,
off_open,als,10,,,0.022792022792022748,-0.04375000000000001,,
off_open,als,11,,,0.018518518518518545,-0.08750000000000002,,
off_open,als,12,,,0.0357142857142857,-0.07916666666666666,,
off_open,als,13,,,-0.3192848020434228,-0.08124999999999999,,
off_open,als,14,,,0.05128205128205132,-0.10416666666666669,,
off_open,als,15,,,0.019354838709677413,-0.052083333333333315,,
off_open,als,16,,,0.01282051282051283,-0.06666666666666671,,
off_open,als,17,,,0.007407407407407363,-0.09375,,
off_open,als,18,,,0.1642857142857143,-0.08333333333333331,,
off_open,als,19,,,0.23809523809523808,-0.08333333333333331,,
off_open,als,20,,,-0.019540229885057492,-0.07291666666666669,,
off_open,als,21,,,-0.027472527472527486,-0.033333333333333326,,
off_open,als,22,,,0.17857142857142858,-0.05833333333333329,,
off_open,als,23,,,0.07535121328224781,-0.03541666666666671,,
off_open,als,24,,,-0.1071428571428571,-0.05833333333333329,,
off_open,als,25,,,0.1574712643678161,-0.04999999999999999,,
off_open,als,26,,,-0.130184331797235,-0.09583333333333333,,
off_open,als,27,,,-0.15632183908045977,-0.07291666666666669,,
off_open,als,28,,,-0.06896551724137928,-0.060416666666666674,,
off_open,als,29,,,-0.00952380952380949,-0.08333333333333331,,
off_open,als,30,,,0.15873015873015872,-0.06874999999999998,,
off_open,als,31,,,0.3300492610837438,-0.0708333333333333,,
off_open,als,32,,,-0.0482758620689655,-0.1020833333333333,,
off_open,als,33,,,0.1428571428571429,-0.05833333333333329,,
off_open,als,34,,,-0.04275862068965519,-0.1020833333333333,,
off_open,als,35,,,0.05384615384615388,-0.10416666666666669,,
off_open,als,36,,,0.3977832512315271,-0.0708333333333333,,
off_open,als,37,,,-0.0714285714285714,-0.03749999999999998,,
off_open,als,38,,,0.41246684350132623,-0.09166666666666667,,
off_open,als,39,,,-0.2008928571428571,-0.016666666666666663,,
off_open,als,40,,,0.3004926108374384,-0.04791666666666666,,
off_open,als,41,,,0.05287356321839082,-0.04999999999999999,,
off_open,als,42,,,0.11264367816091947,-0.04999999999999999,,
off_open,als,43,,,-0.15057471264367822,-0.04999999999999999,,
off_open,als,44,,,-0.22580645161290314,-0.06458333333333333,,
off_open,als,45,,,-0.23541666666666672,-0.041666666666666685,,
off_open,als,46,,,-0.11397849462365595,-0.07500000000000001,,
off_open,als,47,,,-0.16031280547409577,-0.04375000000000001,,
off_open,als,48,,,0.03225806451612906,-0.06458333333333333,,
off_open,als,49,,,0.19354838709677413,-0.06458333333333333,,
off_open,als,50,,,0.18709677419354837,-0.052083333333333315,,
off_open,fixed,1,,,,,0.0,0.0
off_open,fixed,2,,,,,0.1428571428571429,0.0
off_open,fixed,3,,,,,0.30769230769230765,-0.054166666666666696
off_open,fixed,4,,,,,-0.09142857142857147,-0.020833333333333315
off_open,fixed,5,,,,,0.1119047619047619,-0.03749999999999998
off_open,fixed,6,,,,,0.2987012987012987,0.016666666666666663
off_open,fixed,7,,,,,0.12169312169312169,0.01874999999999999
off_open,fixed,8,,,,,0.2581818181818182,-0.014583333333333337
off_open,fixed,9,,,,,0.05555555555555558,0.04583333333333331
off_open,fixed,10,,,,,0.1442495126705653,0.04375000000000001
off_open,fixed,11,,,,,0.16666666666666669,0.024999999999999994
off_open,fixed,12,,,,,0.05555555555555558,0.04583333333333331
off_open,fixed,13,,,,,0.006734006734006703,0.006249999999999978
off_open,fixed,14,,,,,0.12145748987854255,0.033333333333333326
off_open,fixed,15,,,,,0.2428842504743833,0.11041666666666669
off_open,fixed,16,,,,,-0.21634615384615385,0.0708333333333333
off_open,fixed,17,,,,,0.07407407407407407,0.056249999999999994
off_open,fixed,18,,,,,0.17016806722689076,0.07916666666666669
off_open,fixed,19,,,,,0.39495798319327724,0.07916666666666669
off_open,fixed,20,,,,,0.013793103448275834,0.052083333333333315
off_open,fixed,21,,,,,-0.08035714285714285,0.09166666666666667
off_open,fixed,22,,,,,0.03991596638655459,0.07916666666666669
off_open,fixed,23,,,,,-0.18390804597701144,0.07708333333333331
off_open,fixed,24,,,,,0.0267857142857143,0.09166666666666667
off_open,fixed,25,,,,,0.12083333333333335,0.11249999999999999
off_open,fixed,26,,,,,0.25892857142857145,0.09166666666666667
off_open,fixed,27,,,,,-0.002155172413793094,0.1020833333333333
off_open,fixed,28,,,,,0.060344827586206906,0.1020833333333333
off_open,fixed,29,,,,,0.10714285714285715,0.09166666666666667
off_open,fixed,30,,,,,0.13194444444444442,0.08124999999999999
off_open,fixed,31,,,,,0.3839285714285714,0.09166666666666667
off_open,fixed,32,,,,,-0.03749999999999998,0.060416666666666674
off_open,fixed,33,,,,,0.2678571428571429,0.09166666666666667
off_open,fixed,34,,,,,-0.1225,0.060416666666666674
off_open,fixed,35,,,,,0.5288461538461539,0.0708333333333333
off_open,fixed,36,,,,,0.3482142857142857,0.09166666666666667
off_open,fixed,37,,,,,0.3125,0.11249999999999999
off_open,fixed,38,,,,,0.40384615384615385,0.0708333333333333
off_open,fixed,39,,,,,0.03125,0.1333333333333333
off_open,fixed,40,,,,,0.2112068965517241,0.1020833333333333
off_open,fixed,41,,,,,-0.4083333333333333,0.11249999999999999
off_open,fixed,42,,,,,-0.01666666666666672,0.11249999999999999
off_open,fixed,43,,,,,-0.44583333333333336,0.11249999999999999
off_open,fixed,44,,,,,-0.23185483870967738,0.12291666666666667
off_open,fixed,45,,,,,-0.21875,0.1333333333333333
off_open,fixed,46,,,,,-0.35686274509803917,0.1
off_open,fixed,47,,,,,-0.14015151515151514,0.14375
off_open,fixed,48,,,,,0.2338709677419355,0.12291666666666667
off_open,fixed,49,,,,,-0.07258064516129037,0.12291666666666667
off_open,fixed,50,,,,,0.012096774193548376,0.12291666666666667
